,0,1,2,3,4,5,6,7,8,9,10,11
72,2353231,"Zoétgomdé	Zoetgomde	Zoetgomde,Zoétgomdé	12.53333	-2.2	P	PPL	BF		06				0		287	Africa/Ouagadougou	2019-02-21",,,,,,,,,,
73,2353232,Zodoum	Zodoum		10.98333	-3.03333	P	PPL	BF		13				0		337	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
74,2353233,Zoamba	Zoamba		12.76667	-0.83333	P	PPL	BF		05				0		348	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
75,2353234,Zoaga	Zoaga	Zoaga	11.03806	-0.59028	P	PPL	BF		04	49			0		243	Africa/Ouagadougou	2014-04-06,,,,,,,,,,
76,2353235,Zizon	Zizon		12.8	-2.26667	P	PPL	BF		10				0		338	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
77,2353236,Zizi	Zizi		12.96667	-2.93333	P	PPL	BF		01				0		295	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
78,2353237,Zitoessin	Zitoessin		13.07456	-2.39649	P	PPL	BF		10	76			0		310	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
79,2353238,Zitenga	Zitenga	Zitenga	12.74846	-1.30989	P	PPLA3	BF		11	68			0		323	Africa/Ouagadougou	2018-09-05,,,,,,,,,,
80,2353239,Zisségré	Zissegre		12.66667	-0.38333	P	PPL	BF		05				0		292	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
81,2353240,Ziré	Zire		13.27328	-2.11149	P	PPL	BF		10	76			0		324	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
82,2353241,Zipélé	Zipele		12.77965	-1.73737	P	PPL	BF		11				0		337	Africa/Ouagadougou	2018-08-07,,,,,,,,,,
83,2353242,Zipélaga	Zipelaga		11.06667	-0.48333	P	PPL	BF		04				0		243	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
84,2353243,"Ziou	Ziou	Ziego,Ziou,Ziégo	11.03611	-0.77917	P	PPL	BF		07	65			0		222	Africa/Ouagadougou	2012-01-18",,,,,,,,,,
85,2353244,Zio	Zio		11.91667	-1.7	P	PPL	BF		07				0		318	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
86,2353245,Zinyé	Zinye		12.25	-0.6	P	PPL	BF		11				0		315	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
87,2353246,Zintio	Zintio		11.31667	-3.2	P	PPL	BF		13				0		288	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
88,2353247,Zintenga	Zintenga		11.83333	-0.76667	P	PPL	BF		04				0		239	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
89,2353248,Zinou	Zinou		11.86667	-2.28333	P	PPL	BF		06				0		301	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
90,2353249,Zinkui	Zinkui		11.98333	-3.21667	P	PPL	BF		01				0		299	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
91,2353250,Zinka Folapouo	Zinka Folapouo		10.13333	-2.91667	P	PPL	BF		13				0		306	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
92,2353251,Zinka	Zinka		10.13333	-2.91667	P	PPL	BF		13				0		306	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
93,2353252,Ziniguisé	Ziniguise		12.11667	-2.11667	P	PPL	BF		06				0		327	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
94,2353253,Zinigma	Zinigma		13.40905	-1.71803	P	PPL	BF		05	15			0		367	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
95,2353254,Zinigen	Zinigen		13	-2.28333	P	PPL	BF		10				0		331	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
96,2353255,Zinibéogo	Zinibeogo		13.76769	-0.74324	H	STMI	BF		05	70			0		278	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
97,2353256,Zinibéogo	Zinibeogo		13.86623	-0.73761	P	PPL	BF		05	70			0		285	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
98,2353257,"Ziniaré	Ziniare	Zimare,Zimaré,Zinarie,Zinarié,Ziniare,Ziniaré	12.58186	-1.2971	P	PPLA	BF		11	68			12703		303	Africa/Ouagadougou",2013-02-08,,,,,,,,,
99,2353258,Zinguina	Zinguina		11.90347	-4.96788	P	PPL	BF		09	54			0		323	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
100,2353259,Zingédagen	Zingedagen		12.18333	-2.1	P	PPL	BF		06				0		333	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
101,2353260,Zinékwé	Zinekwe		11.91667	-1.31667	P	PPL	BF		07				0		331	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
102,2353261,Zinedi	Zinedi		9.96667	-2.8	P	PPL	BF		13				0		249	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
103,2353262,"Zindiguessé	Zindiguesse	Sindiguesse,Sindiguessé,Zindigue,Zindiguesse,Zindiguessé,Zindigué	13.28604	-2.37295	P	PPL	BF		10	76			0",333	Africa,O,agad,ug,2,12,-18,,,
104,2353263,Zinaziélla	Zinaziella		11.23333	-0.65	P	PPL	BF		04				0		253	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
105,2353264,Zinado	Zinado	Zinado	12.18333	-0.66667	P	PPL	BF		11				0		290	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
106,2353265,Zinab	Zinab		12.78333	-0.98333	P	PPL	BF		05				0		302	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
107,2353266,Zina	Zina		12.01667	-3.4	P	PPL	BF		01				0		333	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
108,2353267,"Saben	Saben	Saben,Zimyalage,Zimyalagé,Zimyalogue,Zimyalogué	12.85233	-1.79751	P	PPL	BF		11				0		321	Africa/Ouagadougou	2018-08",07,,,,,,,,,
109,2353268,"Sabsin	Sabsin	Sabsen,Sabsin,Zimtenga	12.10507	-1.55127	P	PPL	BF		07	47			0		321	Africa/Ouagadougou	2018-08-07",,,,,,,,,,
110,2353269,Zimsa	Zimsa		13.31084	-1.09723	P	PPL	BF		05	70			0		308	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
111,2353270,Zimou	Zimou		13.08537	-2.9114	P	PPL	BF		01	73			0		304	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
112,2353271,"Zimba	Zimba	Zimba,Zimmba	13.5048	-2.43669	P	PPL	BF		10	76			0		344	Africa/Ouagadougou	2012-01-18",,,,,,,,,,
113,2353272,Zimkouri	Zimkouri		12.85	-0.51667	P	PPL	BF		05				0		294	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
114,2353273,Zimkorom	Zimkorom		12.4	-0.16667	P	PPL	BF		04				0		294	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
115,2353274,Zimiouzou	Zimiouzou		12.71667	-2.2	P	PPL	BF		10				0		301	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
116,2353275,Zimidou	Zimidou		13.18678	-1.2623	P	PPL	BF		05	70			0		340	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
117,2353276,Zimidi	Zimidi		12.8	-2.7	P	PPL	BF		00				0		293	Africa/Ouagadougou	1993-12-30,,,,,,,,,,
118,2353277,Zimidem	Zimidem		12.61667	-2.16667	P	PPL	BF		06				0		289	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
119,2353278,"Zimasso	Zimasso	Diamanso,Diamen,Zimasso	12.66667	-3.61667	P	PPL	BF		01				0		270	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
120,2353279,Zilatéoun	Zilateoun		9.95	-2.85	P	PPL	BF		13				0		288	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
121,2353280,Zilaoro	Zilaoro		13.03309	-1.88629	P	PPL	BF		10	34			0		291	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
122,2353281,Zikomtenga	Zikomtenga		12.2394	-1.4552	P	PPL	BF		03	53			0		311	Africa/Ouagadougou	2018-12-04,,,,,,,,,,
123,2353282,Zikiémé	Zikieme		12.93333	-0.98333	P	PPL	BF		05				0		301	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
